	sender	me
652	ela opote thes	e
656	thewrhtika auto pou exoun apo panw einai thermonotiko alla pare den xerw me thn ydropsyxh mhpws den xreiazetai nai pare tha parw to podhlato sou na paw acs	nai r
664	exw giati . ?	 na exoume fygei
668	tha erthei o giannhs ?	dn xerw tha mathw twra
670	lege re ti perimeneis twra ?	cpu motherboard psuksh trofodotiko
674	kaula	se kana tetarto tha xekinhsei
676	oke xekinaei	o giannhs 
681	katebainw	tha pame kana ntiri pio meta
683	exw ena diadiktyako party shmera den mporw	lol
685	hrthan ta pragmata ?	oxi
691	kaimakas ? aa xaxa motherboard edw ?	oxi . . .trofodotiko motherbord psyksh othoni apo m systems
696	wraia fash apo bdomada	elpizw oxi
701	ok auto phres re arxidi auto koitaza hero wraios anebhke h timh basika teleiwse apo kotsobwlo kai media markt tha erthw na to testarw	 euro
710	i know	sou fernw ta mpiftekia
712	exw anoikta	r
716	exei proodo aurio den nomizw	tha dwseis 
719	mpa tha dw mhpws mporw na mpw na dw ti erwthseis tha kanei alliws tha bgw	s aresan ta mpiftekia ?
724	komple htan eixa kai tis tsipoures e to pontiki ti leei ?	pataw synexeia katalathos auto to koumpi
728	auto to bazoun gia to sensitivity sta paixnidia na allazei me auto gia na exeis kalyterh akribeia sta sniper	genika kalo mou fainetai . . . ntaxei twra exw kai to karkino mousepad
733	https www .pullandbear .com gr andrika endymata agaphmena tou p b black friday adiabroxo parka m c p .html ?cs fbclid iwar crnaucmnmo lkfgi mnfpucncjjmjhmku ylhzj g bohob ggfyk phra auto kai to skeftomai gia to pontikaki	polu dunatooo
738	thnks	e
741	mpaa logitech	ayta exoun apo 
746	poia einai	kraken tournament
749	https www .skroutz .gr s hyperx cloud ii gun metal .html	ti les gia auta ?
751	mazeuetai to mikrofwno ?	kalh erwthsh
753	tha sou pw thn alhtheia an einai na dwseis toso lefta gia akoustika den xerw an axizei na pareis gaming h akoustika gia na akous kalytera mousikh https www .skroutz .gr s audio technica ath m x .html poly kala	oxi r gaming tha parw
760	nomizw exei na kanei me ta poia sou aresoun emfanisiaka alla se auth thn timh eimai fan ths hyperx https www .skroutz .gr s razer kraken mercury white .html auta tha phgainoun me to set	ta eida auta
769	kai emena den mou aresei alla einai klassik razer	afou dn prokeite na vgw pote ap to spiti
777	den xerw na sou pw thn alhtheia alla ta audio technica exoun allo quality sigoura https www .skroutz .gr s audio technica ath m xbt black .html auta edw einai apo ta prwta mou lefta	kai ta epomena gia mia karta hxou
782	isxyei basika enan kalo enisxyth	molis to icon mou trabhxe lefta
787	posa 	 
789	partous thl aurio gia auton ton mhna ?	gia auton pou erxetai
795	rip klafta e ntax tha sta dwsoun tsil hrthetipota ?	plhktrologio
801	gamhthhkan na sou pw to pontiki kalo ?	an exaireseis ekeino to koumpi
806	exeis ta barakia panw ?	nai
809	tha erthw se ligo na paixw apex	dn exw apex
812	tha ferw staf sthn maxh tha doume	e tha pesw na koimithw
815	na erthw na parw to pontiki ?	ela nai
819	ti lewf	dn me afhnei
822	kai mish logika pernane kath emish wra nomizw med kit ?	ye
827	nai nai tha pame gianno ? xym xyn gia pes fps lol told gia na erthw na dw lolaki ?	mpes gia flex
835	bariemai na paixw re	ela ama thes nai
837	larwsa ? a twra to eida wraio wraio	gianno to vrady
842	oke exeis patates ?	mpaa
846	nop exw diabasma	ok
850	katse na mpoume squad	katevase to ante
852	tha to balw to brady	 gn einai telika
855	update prpeei na kanw exei pethanei kai se sena h wind ?	oxi kala einai
858	malaka oute fb den anoigei	twra pou to les argei nai
862	tekan na erthw na pioume kana kafe ?	exw poludiastates ela kata tis 
866	pshnw alla epeidh xypnhsa twra tha faw dhmhtriaka exoume geb pshneis perpathma ?	mpa
870	tha kaeis shmera ?	e shmera dn kahka katholou twra psofaw
873	 ? ? to user name ?	nai
881	eprepe na anoixeis ta parathyra	poia parathyra
883	windows giati htan skotein a	 . .
888	xaxa tha paixtei kafes ?	logika nai
891	gianno h parko ?	giannos einai arrwstos
893	akoma ?	tha paw thl na mathw
895	ti kanoume	kateba
897	katse re mpk dontia	dwse shma
900	se katw	tha ertheis gianno ?
903	nai nai se poso	se ligo ksekinaei eipe
907	e na erthw na parw ta ispanika ?	nai
909	erxo erxomai ? e apex ?	katharizw spiti
915	steile name	antonispar 
918	ela perimenoume eisai gemp ?	no
921	mporeis na mpeis mia na mou peis an blepeis diafaneies ?	miso
923	akyro	ok
926	se poso ?	se kana lepto ?
928	steile an einai ti kanoume brady ? pame mhtso 	nai
933	nai kana mpykali sou xrwstaw kiolas	jameson
937	popa	tah to pame
939	pes gianno iasona tsak tha erthei ? kai ti wra ?	 
944	kalytera na pame printis re	konta einai r
950	iason ?	esteila dn apanthse
952	oke	h arxh tou yeet
954	steile to it	https www .youtube .com watch ?v nvngcaqvgdy ab channel feerounity
956	gamhse to teleytaio	jason xalkida
958	okau se poso ?	eisai etoimos ?
961	mporw se ligo na eimath giou ?	cs paizw
968	pistoli kai ap oifanti opote opote plenw dontia kai pame	y
974	se katw katebainw you missed a call from aggelos . exw peiniata foodbox	efaga
980	se wres	 . . .
982	supernatural time	ore nomiza diavazeis
987	giati thn pairneis mono take away trele	a sad
989	sto eixa peis re file	ginete na tous pareis thl kai na pas na th pareis h prepei na perimeneis kana misawro me sto kruo ?
991	ginetai alla den xerw meta tis 	izi money
993	me ton kopo sou	ahahh
995	re malaka na sou pw https www .nike .com gr t andriko papoutsi air force ktgjcv ct exei anebasei h nike auto to papoutsi alla den exei noumera eurwpaika xereis an einai uk h amerikanika ?	nike .com leei opote logika ta us tha einai
1002	nai re file	se ola com leei
1004	alla sta alla nai auto kai sta alla papoutsia exei eu	polu periergo
1009	yeap kai thelw na to parw	pare thl
1012	bariemai na perimenw katse na dw an mpw anamonh malaka nike gamaei mou to shkwse amesws amerikanikes einai telika	otan dn ekmetalleuontai ta paidakia sto bietnam gamaei nai
1019	pws me gamhses etsi edw eisai esy	ahahhaaha
1022	purchased	patra h xalkida ?
1024	xalkida re	pali kala
1027	yeeeeet	mpes thn yfanth
1031	tha paw foibo meta an thes pame twra yfanth efyge	pshneis ?
1035	pshnw na faw dhmhtriaka kai pame	wraia
1037	pame mia bolta exw sapisei	nai r mlk auto
1040	ela katw an thes mexri na faw	mazeuw rouxa k erxo
1042	oke	mou efere enas kourier to ptyxio ths aderfhs mou
1045	gtf saddd e se katw ?	erxomai s se sena
1050	mhn ertheis xezw	sit
1054	ko dontia kai katebainw https www .facebook .com posts 	e na katebw na parw ta katsabidia 
1058	ela	paw mia sta ktel k ee o
1061	rwta an exoun kai lewforeio gia xalkida	okk
1064	re malaka exeis nero ?	oxiii
1067	poutana deuap	mas exei gamhsei aurio exw kourema
1070	prepei na kanw latza https www .deyap .gr news scheduled pause item blabh se kentriko agwgo ydreushs margarita mou pe tha erthei aurio prwi	emena hrthe
1074	malakaaaa me swses	eixa afhsei vrysh anoixth kai arxise na trexei
1077	teleia	ela epaiza
1079	ela spiti mou na deis	ti na dw
1081	ela	erxo
1085	cant yet	oik
1087	otan ftasw spiti	ok
1089	an einai pio argaa	apex
1092	aggelos called you .	https youtu .be fn kwm kuaw
1094	teleio	e
1099	pou ta brhkes ousiastika einai o algorithmos alla thelei kai alla o mpermperidhs	exei kai ena erwthma me dcpm
1103	tha ta dw se ligo	askhsh 
1105	posa plhrwses ?	 . . .
1108	tha ta tsek https github .com lostpfg huffman matlab eeeee brhka auto kai douleuei gia to prwto erwthma stis pshfiakes	o kwdikas pou sou esteila to meshmeri einai
1115	ouf nai apo ekei ton exei parie logika	e
1122	 ? ?	gia ta biblia psaxnw ena magazi
1124	aa nai ta exw edw ti paixthke me seismous	eginan panw apo rixter
1130	gefalika ?	apex 
1132	se ligo empa	ye
1135	eimaste nti xronia polla skylos na xairesai to onoma souyyy	margkassd 
1140	nop des hmerologio iklas	a vghke ki allo
1147	kanoume eeb web tha teleiwsoume se ligo tha mpw dynato mats prpeei na gamouses sto irli	farmara champs
1153	den eferes thn nikh omws	trollare o spuros . . . .kai se kapoia fash tous pernoume fight sto river . . . .oloi oi antipaloi respawn se . . .apo emas zwntanoi giannos kai jayson . . . .ta creeps pusharan inhi kai gia kapoio logo dn kataferan na to teleiwsoun
1155	kala that moy ta peis mpainoyme apex ?	pio arga r akoma diavazw
1158	pws me gamhses etsi	tha paikseis
1161	hrthe na gamhsei paizetai apex ?	oxi
1165	wwww mia xara xairetismousss	an paikseis steile dis
1169	den to kobw oute gia shmera na sou pw thn alhtheia alla oxe na rthw gia kafe ?	kapsimoooo
1173	wraios	me eprhxan oi alloi
1176	exeis perasei grafhmata ?	oxi
1178	tha dwseis ?	mpaa
1181	den exw dei tipota gai sklabo an xekinhsw shmera prolabainw les ?	nai
1189	ebales ?	tha parw th mana mou thl gia na ksekinhsoun oi diadikasies
1194	theloun piesh giati oute se meres tha to kanoun	pame se kana ntiri to vrady
1197	dinw aurio prwi re	grafhmata ?
1199	geas e tha ftiaxeis kamia granitoura na ftiaxw to kotopooulo ?	ruzi me zwmo kotas
1203	nai tha sou pw na to xekinhseis tha katsw na to filetarw	cool
1207	xekina	zwmo laxanikwn h kotas ?
1209	ot thes se ti fash eisai ?	se einai etoimo
1212	paizei na exeis piperies ?	mpaa
1214	okk kane pros ta dw	y
1217	pshneis kana perpathnma ?	anoiksa fourno kai ksekinhsa diavasma
1219	egineee na sou parw ena kolwxarto kai tha paw na agorasw aurio	nai r
1223	erxomai se ligo erxomai exeiw faei . ?	oxi
1227	psineis parageiloume ?	nai
1229	exeis tipota kalao ?	kana mageireuto pshnw
1231	arxidia exeis kamia prosfora ? den xerw kanena	ye malakies
1236	den mou to bgazei miso na dw ti exei tha mas piasei mia ? pareis h tha parw ?	e nai mia pitsa dn tha se piasei
1240	nai nai	pare gt tha paw gia treksimo
1243	oke ti thes ?	kapritsioza nomizw einai monodromos
1246	xaxaxaxaxa kai egw	noice
1248	food is here	ompoo
1252	den exeis xypnhsei akoma ?	ela
1255	egw lew na pame mia bolta giati dinei kai broxes pes to	nai r pame
1259	 ?	 dn einai
1261	 ? ? ? ? ? ?	 dn htan
1263	naip pame gia kafe re skalakia tipota tetoio	e sth poreia dn tha pame
1267	ama eiani ekei nai alla pisteuw tha teleiwnoun twra pame na doume ti paizei	pane twra sta grhgora
1272	xesimo kai pame	nai
1275	se katw katebainw egw re	nai
1278	steile mou otan xypnhseis	ela
1280	anebainw https www .youtube .com watch ?v fksgupos h https www .youtube .com watch ?v z lleidjl gr 	sto fylaxa
1285	euxaristw file krata to kapou mexri na erthw	pws paei ekei r
1289	wraia einai me ta ispanika exw themata ki giati oloi milane h gallika h ispanika alla tha to broume esy ti kanete eseis	project web
1297	e nai exoume enan dynato oi alloi oxi toso	nice
1302	e liga pragmata mono oi germanoi kai exoume kai enan bretano	sta shmantika twra
1307	nai file kai para polla genika einai liga ta agoria	looool
1313	re file prpei na einai kai alloi alla egw ena palikari exw gnwrisei xthes akousa kati typisses namilane alla poutsa mou nomizw brhka kai allous ti ekanes me elta ?	telika dn me phre autos
1323	den phres e ?	dn me phre kanenas
1326	kala deutera tha sto xana thymisw alla pare kai esy ena thl an den se paroun giati tha to steiloun pisw	omada eimaste egw tzeison tsak giannhs yfanth
1331	egineee milhses ?	argia shmera
1334	swstos aurio an einai	tha parw nai
1338	 sy	efta
1341	zori to mathhma	ti vlepoume
1343	balame spitikh founta	whattttt
1346	leme oti einai nomimo na exei dyo fyta lene egw hxera mono mexri tria grammaria kai na kapnizeis spiti sou alla genika san amsterntam einai edw	krima na mh pineis
1353	ama anthisei spitikh tha dokimasw piour alla am den pisteuw na bgei	ama tous blepeis me lipasmata kai ph metra kai farmaka tha fytrwsei
1361	auto tous eipa twra ti tha kanoun dikia tous douleia den asxoloumai mhn einai paranomo kai ton piw xaxa	nai r makria
1369	kala re file exw agxwthei me thn sxolh edw giati eimai ligo xamenos kai twra ligo afragkos	posa parakoloutheis apo ta dika tous 
1374	exw alla giati prpei na perasw ta alla einai gamhsi kai einai kai sta ispanika kai kanw kai ispanika	pws einai ekei to epipedo twn mathhmatwn
1381	poly diaforetiko re	kalytera apo emas e 
1383	olh h fash xekathara poly kalytera arxika oles oi taxeis einai max atoma thewria kai praktikh max 	exoun anoixtes kameres k milane 
1388	exoun oloklhrh platforma gia ta diadiktyaka oxi alla to mathhma einai san syzhthsh den kolwnoun gia erwthseis kai tetoia kai oi kathhghtes einai synhthws neoi peripou einai allh fash re	katalaba
1396	alla den mporw na katalabw pws douleuoun	ergasies tetoia exei 
1398	auta den .mporw na katalabw exei nai alla einai epriergrs r efile dhladh den einai ena megalo .protzekt einai polles mikres	kai tis anebazeis opws edw sto iklas 
1404	nai nai alla px exoun ntraib me oles tis dialexeis an thes na tis xana deis	kai edw tous parakalame na anebasoun tis diafaneies . . .
1411	etsi lew kai egw re fie alla ama ginei malakia ton hpiame	to xeis
1416	nai mia gallida me zorizei kaname douleia kai ola kala alla twra den to paei kala	milaei me allous ?
1421	les e ?	alla katalaves pws to ennow
1423	den xerw re file opote eimaste mazi ola komple alla me ta mhnymata den paei tha deixei egw ths eipa an thes na bgoume pes mou mhn me skotizeis kai to afhsa ekei giati kourase	a dn menei ekei 
1430	oxi re den xtypaw spiti thelw na ta exw kala edw mesa	ahahhaha gt r
1435	oxi oxi	nomiza htan apo ekei h fash
1437	pio arga an einai edw mesa alla twra ektos spitiou na eimai xalaros sto spiti re	kala nai
1443	mwre ntax pio poly na mhn milane oi alloi katalabes	mlk zhlepsa to bouno
1446	asto re eixe kamia aria dhmosia mparmpekiou den xeroun na pshnoun kai ginotan ths poutanas to pshsthri to ellhniko den to kanoun	alkool epinan 
1452	nai nai ekei den tous pianou e pianoume exoun lefta alla to mparmpekiou flwria ama den exei ligo rempetiko apo pisw na xaideuei	to ski pws phge
1458	mou efyge o patos alla ekana prasinh pista mia fora xwris na pesw apla den mporousa na kounhthw dyo meres kai paizei na exei ginei kai malakia sto gonato mou	e nai auto einai to starter pack
1466	den xerw an eiani megalo alla dema	ok
1469	axize omws to ski prepei na ta timhsoume ta kalabryta ligo	to 
1472	steile otan milhseis me elta	epairna dn to shkwnan
1475	oke eixame kana neo meta elta ?	dn shkwnoun thlefwna
1480	wraios steilemou an einai mhpws xreizetai na me paroun thl kai teoia	ye
1489	euxaristw re file eisai patra ?	nai
1492	mporeis na mou steileis ta stoixeia apo to dema apo thn gallia ?	ela
1495	egine mpou thenx	ahahha tha sas desoun mlk
1497	den pathainoume tipota	pote tha einai etoimo
1499	tha to kopsoume se liges meres na xerathei kama dekahmero kana kai meta logika etoimo aggelos called you . the video chat ended .	e proforikh dikty
1509	to ergasthrio re ola htan apo ekei liga pragmata ektos tou ergasthriou	e pws ton lene auton
1516	xaxa theoulhs	e
1523	kala eisia phgaine ekei pou dinei kleidia h sxolh kai pare ena akyro isa isa gia na fygei	a
1529	e malaka sto epixeirein eixes kanei to fb 	o giannos to eixe kanei
1533	mou stelneis ti malakies eixe grapsei ?	miso
1535	tekmhriwste syntoma tis apofaseis pou phrate kata thn parametropoihsh kathe ekstrateias . auto elega alla den no prop poso phrate ?	dn exetasthkame
1544	ti les re kai egw dinw exeis diabasei tipota ?	perasa mia fora tis diafaneies
1549	den paizou themata kai tetoia ? einai dyskolo re ? dinei kai o iasonas ? h apo totes tespa tha katsw se kamia war nan diabasw opote diabases diabase na mou peis ti na dw	dialexh 
1560	egine ti einai auta re malaka ?	auta einai sth dialeksh 
1564	briskw mono to cpa ta alla den ta briskw	e
1568	oxi agorina den exw koitaxei tipota gia diplwmatikh ti skeftesai na pareis ?	dn exoun bgalei akoma kainouria . . .o koutso eixe kati endiaferonta me ml
1577	den xerw poioi axizoun re den xerw poioi axizoun regia diplwmatikes kai se data thelw kai skeftomoun ton megalooikonomou alla einai ypotonikos re	etsi k alliws oi voithoi tou tha elegxoun thn fash
1583	exeis deis ti omdaa exei ? exeis deis ti omdaa exei ?ennow oti einai kalh ?	dn kserw akrivws alla stis vaseis 
1589	prepei na dialexoume auto to examhno re ? komnhnos autos einai kathhghths	oxi dn einai upoxrewtiko
1595	egw lew na parw auto to examhno na to skeftw re	thn dhlwneis sto allo
1598	den exw psaxei tipota re den thelw na parw thema kai na mhn mou aresei	isxuei oti thelei psaksimo
1602	athhna file mexri na teleiwsw me extastikh kai meta arxes oktobrh lew na erthw	a kalws
1606	esy ti kans	egw tha paw th kuriakh
1608	tha katebei kanenas ?	o giannhs einai ekei
1613	e kai egw alla pisteuw tha kleisoume meta apo kana mhna	tha skasei kamia metallaxh kai tha oi epomenes dyo ebdomades tha einai krisimes kai lokntaoun mexri na erthoun oi touristes
1615	geap auto pisteuw tha ginei den exoun organwthei katholou gia na anoixoun enas na bgainei thetiko tha prepei na kleinoun	ta panepisthmia dn peirazei as kleisoun
1625	apogoreush erxetai stantar twra gia ta tzims ti na sou pw	r ti einai auto pou leei edw
1629	re file thn ekana ton iounio alla den thymamai kala kai psaxnw thn omadikh me ton gianno pou thn kaname na thn dw	anabathmologhsh to kaneis ?
1634	anabathmologish alla den xerw an tha dwsw dinw psarakh kai den xerw an prolabainw	poso phres
1639	 	e einai gia parapanw
1643	ta idia themata bazei palia themata blepe kai an mporeis steilata edw giati diabazw psarakh kai den exw xrono kai an eiani mpainoume mazi aurio mas dinei arketo xrono rwta thn maria exei poly pragma	arxidia exei
1656	xaxaxax askhseis stelnemou mhn kathesai kai diabazeis thewria basika diabase alla na matheis na lyneis einai na sou pw exeis brei thn mponous tou iouniou	oxi dn to exw dei kapou
1665	re file kapou to exw alla den xerw pou einai den thymamai tipota	hrthan prwtoeta kai xesalwsan
1668	ti egine ? xereis ?	dn eida oxi
1673	nai mwre klain exeis link ?	https upatras gr .zoom .us j ?pwd qjn k h yujdqmvim nluknls vvqt 
1676	tha prepei na eimaste syndedemenoi ? to iounio den hmastan	nai etsi leei
1680	mpainoume ?	mexri tis prepei na exoume mpei nai
1682	oke xekiname xwris tautopoihsh ?	logika
1686	poia exeis sigoura ?	exw zygoura
1690	xmm	tha se stelnw discord oti lunw
1692	egine sou stelnw kai egw ti exw	sto disc
1695	nainai	steile ston dimitropoulo na mas lysei thn teleutaia
1698	anoixa mpira nai efyga rip	tha grapsw ligh thewria kai tha th steilw egw
1702	kalh tyxh man to ekanes olo ?	ton hpia panyghrika
1706	nai nai den phge kala	next time
0	ela re kala ti exoume 	phga phra gt thn xristina ena pro apo to tekpoint kainourio me anoixto kouti eurw xwris fpa . to eida sto magazi prin to parw kai me fanhke komple shmera pou to koitaxa omws exei mia poly mikrh gratzounia sthn othonh
6	kainourio me anoixto kouti den paizei mporei na htan elafrws metaxeirismeno alla anyway . de nomizw na sto dextoun pisw file alla mporeis na kaneis mia prospatheia tzamaki den ebales 	o tophs me eipe oti to kin dn eixe anoixei
13	ti na se pw re file . . oso hmoun egw tetoies syskeues den epaizan de mporw na s pw me sigouria ama se poulhse papa alla mporeis na psaxeis me to imei tou kinhtou an thes sto internet na deis an exei xanaleitourghsei kalwdio eixe to authentiko h moufa 	eixe nai kleisto authentiko
19	mporei ontws na htan kainourio re kai apla na eixan anoixei th zelatina autoi sto magazi gia na to bgaloun kanena story me timologio to phres 	nai me arthro 
22	einai sigoura arthro h tipota arthro 	to timologio dn exei fpa panw
24	nai ok des an kapou grafei arthro h arthro 	to eida nai
27	e entaxei tote toulaxiston auto me to timologio shmainei oti einai kainourio grafei to imei panw sto timologio 	oxi dn exei imei
31	tsekare an ekei pou leei kwdikos einai to idio me to imei tou	nai to idio einai
33	tespa de xerw ti fash an einai ontws new h used xerw gw an thes steile tous kanena mhnyma h an einai anoixta perna apo ekei alla dyskolo na to allaxoun	kai pisteuw dn tha bgalw akrh
42	kala nai mporei ontws na mh to dei h xristina eixe kai allo sto magazi gia na dialexeis h apla mono auto kai to phres 	ena eixe
46	e malakia de tha exei kai na sto allaxei kiolas	gamhseta
48	arnhtikh axiologhsh google xaxaxa 	ti hthela kai phga
51	xronia polla reee 	na sai kala giwrgo euxaristw 
0	dunato crew hahahah twra thelw na erthw gia pes ti leei poia einai h ektimish ths katastashs oksimwrh dhlwsh proxorame	mpes
9	ok w lepta na bootarw to pc to epomeno flex pou eisai omws	vgeite o ntiri
15	mental reset kai parakolouthish amerikanikwn eklogwn	ahahhahah gia pes kamia ektimhsh gt to elenxw k egw
18	distixos trump ennow gianis varoufakis olh h alitheia edw	 epeisodia
25	th dikh ? wraia tha to dw	nai
29	esu hsoun autos pou eprepe na katalabei exei kinish ? giati eftasa sta oria	ahaahha auto katalava alla nomiza ennoouses kati pio deep
33	oxi epifaniakos af thelw na erthw asap aksizei ?	paizete akoma ?
39	nai	wraia otan teleiwsete
42	den kserw pou exoun paei efaga ena dc kai oloi eksafanistikan	tha ertheis patra r mlk ?
47	nai deutera tou pasxa paw athhna	kai poso tha katseis patra
55	nai egw kanonika tha katsw mexri to telos dld ioulio giati epibaletai	pw twra me pshneis na katsw
62	file to kauli m exei xediplwsei tha eimai paidi koumpi	ahahahha
68	tha elege na kaname to rigiounion alhtheias me ta panta ola alla oti se boleuei aderfe	r egw thelw na katsw
77	nai se katalaba an einai pas pasxa kai gyrnas 	pasxa tha paw sigoura
81	ara gyrnas	to thema einai an tha parw to pc
83	kai ta panta ola	ti ekanes r mlk gurises patra ?
85	auth th bdomada an exw lefta kati tetoio alliws to sk	wraios
90	esy 	e dn xerw akribws
93	mia xara file bghkes shmera 	ennoeitai
99	arxhgos ti wra shmera parton thl den apantaei ta mnmata	ton phra
104	giati tha gamaei	tha koimatai
106	nai lathos h fash tha gamaei autos den kserw ti kanei	e malakia eprepe hdh na exoume fygei
111	isxyei tha htan kalh fash les na pame pio nwris na katsoume se kanena magazi 	thelei na pas prin tis gia na katseis se magazi
115	oo	k tha erthei twra apo edw h yfanth gia mia ergasia tha teleiwsoume kata tis 
119	ok maresei	kai meta kanena mpoukali
122	maresei	k skali
124	retsina smr h mpoukali mpoukali 	gin r
127	giname	ela kata tis ama einai apo mena
129	wraia	e o giannhs leei dn tha bgei
131	nai m to eipe egw twra erxomai	twra prepei na vroume lsd
135	oooo namegi	kai na katsoume mesa
139	ti exoume sto nou na kanoume ? katse auto einai texnh	pou eisai
143	ston dromo pare thl den exw karta exoume sxedio ?	ela
154	koble	https open .spotify .com track bsykawko n k iknixuq ?si c cfbf f 
156	dynato	e
166	nai re pigene antiparo wraia einai tzibatous exei alla kai kurile ta exei ola kai kosmo	wraia
176	oxi kalutera antiparo alla ikaria na ksereis top	dn exei organwmeno
181	oo na paw antiparo organomeno paizei na gamei file paizei na gamaei	wraia ama skasoume entelh
190	ela esy sth paro xaxa giati douleuw	opa re
194	kai teleiwnw arga	pou douleueis
196	ekei pou douleua kai persi se taberna	a
206	gia camping milame ?	gia to camping antiparos
209	wraia tha rwthsw twra auto pou xerw einai oti arazoun kai paralia alla kai se magazia	wraia kalo auto
214	kai exei kosmo poly kai einai mikrh h antiparos	vasiko to kurio einai na mhn exei mono oikogeneies
0	xronia polla na xairesai to onoma sou 	e yo
3	aou	eisai etoimos esu ?
6	se 	ntaksei
10	aaa ok	an exeis thema me thn wra
14	erxomai se xwrio tha einai kaneis exw 	pare amaksi
17	posoi tha pame katw 	 me sena
19	ok na xekinhsw 	naii
23	oxi kaneis den einai exw pou na erthw 	phgaine sto net
26	ok	the bar
28	tha pate pouthena meta to de mpar h spitia 	dn kseroume
32	komple pare ena thl an pate kapou . . . .rwra sxolasa twra 	egin
36	eee exeis ta gyalia m mhpws wraia pare thl an pate	nai
39	wraiaa	thes poto katw 
41	nomizw den einai kai poly megalh h diafora sthn timh gia amaxi ti les esy 	xwris ta kausima k ta diodia oxi
45	ama einai panw katw to ktel sta atoma einai to karabi gia to amaxi einai 	kai kausima k diodia
48	posa na thelei phgaine ela me diodia	 
51	e den einai trelh h diafora eurw diafora exoun kai exeis amaxi na kinhse sto mish nhsi 	kai parapanw na nai h diafora kalh fash einai to amaxi
62	den mporw twra tha to dw meta sto spiti ama kaneis krathsh den prepei na kaneis kateutheian kai gia amaxi 	e thelei nai
65	na mhn apofasisoume mia to an theloume amaxi kai na kleisoume meta h gia to kampingk les na kleiseis 	gia to kakpingk
69	wraia nai posa atoma xeroume 	oxi
73	e pws tha kleiseis axxaxaxaxa atoma kai tha skasoume 	e gia auto esteila
77	mallon mono egw to eniwsa ap oti fainete	e nai
81	to brady exeis diabasma 	grafw mexri tis k to vrady tha paw kentro
83	gamhseta . . .ap to tsat den prokeitai na bgaloume akrh thelei na poume osoi theloun na pame diakopes na mazeutoume na kleisoume ena apogeuma	epishs theloume amaxia
86	analogos posoi eimaste re giati an pame me ktel kalytera tha einai na ta paroume ola sta xeria skhnes kareklakia kai istories elaa	pou eisai
90	kabala	aa
95	deutera gyrnaw tha pate na parete tis ompreles 	steile ton mario
98	tha paei autos 	dn kserw
100	esy exeis ton protzektora 	dn xerw
103	des ligo an einai se sena na perasw na ton parw h se sena h ston stelio tha einai	eimai gym
106	aaa komple otan gyriseis xronia polla aderfe polyxronos kai oti epithymeis me ygeia ! na xairesai thn aderfh sou ! ti leei re pws pernas dynato fainetai to nhsi	mlk exw pathei plaka me ta merh pou exei
117	nai re ta merh pou blepw apo tis fwtografies einai tromera mlk exei zwh to nhsi me ton io h psofia aaa entaxei katalaba . . .sthn parga mexri tis baria baria ginotan xamos meta xafnika nekra den eblepes tipota ston dromo xaxaxaxaxaxa mmmaa	eipate tpt gia thalassa aurio ?
122	oxi nomizw den eipe kaneis tipota pote gyrnas 	mixalhs missed your call .
127	tha kanonisoume kamia thalassa 	ftanw to prwi
134	komple kanonise kai pes m na xerw	nai
136	me amaxi tha pame 	egw dn mporw na valw
141	sabbas geros 	a kai baggelhs
145	einai kanenas pou den tha erthei 	mauros
149	den htan mazi sas mpota 	oxi
153	aaa nai autoi phgan sto gkarnten kata tis kai ara logika eimaste	 tha mas pei
158	pare thl otan einai na erthw xwrio	nai
160	pare mia ton baggelh na etoimastei	ton eipa
163	den blepw na apantaei kaneis auto shmainei oti symfwnoun h me grafoun sta arxidia tous 	milhsa me olous r
167	wraia skhnh exeis theloume skhnes	tha rwthsw
172	rwta an mporeis twra na doume an exei kanenas allos na organwthoume ligo einai apo twra thelei na mazepsoume pragmata skhnes kamia omprela	omprela exw
178	kareklakia	akou
182	den exw egw skhnh einai kai oi sth kabala o karakobas exei mia	o karakobas einai sth sindo
185	twra phge h einai ap to prwi den tha gyrisei mexris tis 	ap to prwi einai
187	se eipe kata ti wra tha gyrisei h oxi 	oxi
189	rwta na doume ti tha sou pei ki an mporei h an mporei na mas dwsei kapoios thn skhnh tou katse na parw ton stelio ena thl nomizw exei ki autos skhnh o stelios den exei	brhke p kaserhs mia
196	kareklakia pare osa xwraei den xwrane se emena pisw mauro tha kanoume 	tha parw ta dyo pou exw
203	me ton karakoba eisai 	oxi spiti eimai akoma
205	milhsa komple	ela r spiti phgame
207	ok	ti tha kanoume me to mauro
209	poso thes na kaneis esy 	 gia shmera kai gia to sk
212	tha kanonisoume molis sxolasw	egine
214	an dw oti paei arga tha parw thl na to pareis esy	nai
217	twra gyrisa spiti . . . .na parw thl na peraseis giati tha arghsw egw 	apo poion
220	o tsapas an mporei	a dn exeis milhsei
223	oxi alla den pisteuw na rixei akyro . . .	poso thes esu ?
225	exw kanonisei egw gia mena gia aurio	aa
229	nai	kanei sigoura arika 
231	nomizw nai	mike
235	analogos ti wra tha fygete shmera	dn kserw an einai pithano senario
239	e pame aurio kai egw logika gia aurio eimai giati exw kai kourema alla xekinaw kai brady den exw kanena problhma	ok
242	egw telika paizei na mhn erthw aurio	gt
246	giati htan na paw kabala me eipe h mana mou gia deutera kai twra me leei gia shmera h aurio	aaa
249	na ferw skhnes apo kabala an paw h exoume 	fertes mia pathoume kamia nila
